"identity","extraverted","critical","dependable","anxious","open","reserved","sympathetic","disorganized","calm","conventional","af1","af2","af3","af4","af5","af6","af7","af8","af9","af10","af11","af12","af13","af14","af15","af16","af17","af18","af19","af20","age","region","education","urban","trust_eu","trust_nat","trust_loc","sex","age_mean","concealing","tolerating","adjusting","trust_index","extraversion","conscientiousness","neuroticism","openness","agreeableness","soc_trust","ideology","salience"
3074065,4,4,5,4,4,5,3,4,2,3,4,3,4,4,2,4,4,2,4,2,4,5,3,3,4,3,2,2,4,2,28,"Sjælland","Grund-/folkeskole","Bymæssig bebyggelse under 10.000 indbyggere",2,10,7,"Female",17.06584,23,17,23,19,6,8,9,8,6,8,3,4
3074111,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,24,"Sjælland","Almengymnasial uddannelse (studentereksamen/HF)","Bymæssig bebyggelse 10.000-49.999 indbyggere",NA,NA,NA,"Female",21.06584,24,15,18,NA,7,7,7,7,7,NA,6,2
3074900,3,1,6,4,3,7,5,2,3,3,4,3,2,5,4,1,3,4,3,4,4,2,4,2,4,3,3,4,3,5,30,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",4,6,6,"Female",15.06584,32,12,19,16,3,11,8,7,11,9,4,2
3075043,5,4,5,5,5,3,5,4,3,4,4,3,4,2,3,4,3,3,3,3,5,4,3,2,4,2,4,2,3,3,51,"Hovedstaden","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",3,4,6,"Male",-5.9341602,25,19,17,13,9,8,9,8,8,7,NA,2
3075081,2,5,7,3,2,6,4,1,5,5,4,4,3,3,4,2,4,2,4,4,4,3,4,4,4,4,2,4,3,4,27,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",5,8,7,"Female",18.06584,32,15,21,20,3,13,5,4,6,1,8,4
3075142,5,4,4,4,4,3,6,4,5,5,4,4,3,2,4,3,5,2,4,3,4,4,5,2,4,3,4,3,5,5,29,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",6,6,8,"Male",16.06584,32,16,23,20,9,7,6,6,9,6,8,2
3075232,6,6,6,1,7,2,4,3,6,2,2,4,5,4,4,5,5,5,1,1,5,5,2,5,2,4,5,4,5,2,55,"Sjælland","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",4,8,8,"Female",-9.9341602,18,25,27,20,11,10,2,12,5,8,7,3
3075328,4,4,3,5,7,5,5,4,5,3,4,4,4,3,3,3,3,3,4,4,4,3,4,3,4,3,3,3,3,5,54,"Midtjylland","Erhvervsfaglig uddannelse","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",NA,4,6,"Female",-8.9341602,31,17,19,NA,6,6,7,11,8,9,5,3
3075498,4,5,3,1,3,3,4,2,6,4,2,3,4,4,2,3,4,3,2,3,5,5,4,3,3,4,3,2,4,3,64,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",2,7,7,"Female",-18.93416,21,18,24,16,8,8,2,6,6,10,1,3
3076122,6,5,6,4,6,4,6,3,6,4,3,4,4,3,3,3,4,3,4,3,4,4,3,3,3,4,4,3,4,3,71,"Sjælland","Grund-/folkeskole","Udenfor bymæssig bebyggelse – landområde",5,5,7,"Female",-25.93416,25,18,23,17,9,10,5,9,8,5,NA,2
3076192,5,5,5,3,5,3,5,2,6,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,2,5,4,4,4,4,46,"Midtjylland","Kort videregående uddannelse under 3 år","Udenfor bymæssig bebyggelse – landområde",0,2,5,"Male",-0.93415999,29,21,25,7,9,10,4,8,7,9,8,4
3076638,1,1,4,3,4,6,5,5,5,4,4,3,4,4,2,4,4,4,3,3,4,4,3,4,2,3,4,2,4,2,61,"Midtjylland","Grund-/folkeskole","Bymæssig bebyggelse under 10.000 indbyggere",4,4,4,"Female",-15.93416,21,20,22,12,2,6,5,7,11,6,7,2
3076712,6,4,6,5,6,3,6,4,5,5,4,2,3,1,5,2,2,4,3,1,5,3,4,3,4,4,5,2,3,2,35,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",6,6,6,"Female",10.06584,25,18,15,18,10,9,7,8,9,5,10,3
3077441,2,3,6,5,4,4,4,1,3,4,4,2,2,3,3,1,2,2,4,4,3,2,4,2,4,2,3,3,2,4,26,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",1,1,4,"Female",19.06584,30,11,13,6,5,12,9,7,8,5,4,2
3077476,5,5,5,3,5,2,4,3,4,2,2,2,4,3,3,4,4,4,2,2,4,4,2,4,2,4,4,2,4,4,37,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",6,5,5,"Female",8.0658398,19,20,21,16,10,9,6,10,6,4,8,3
3077496,6,4,6,2,6,1,7,5,3,2,4,4,1,4,2,5,3,3,2,2,5,4,1,4,4,4,5,3,5,5,60,"Syddanmark","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",8,9,9,"Female",-14.93416,23,20,24,26,12,8,6,11,10,9,3,3
3077681,4,4,5,3,4,4,3,3,6,2,4,2,3,3,3,1,2,3,4,3,4,4,4,2,4,4,3,3,4,4,21,"Nordjylland","Almengymnasial uddannelse (studentereksamen/HF)","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",NA,NA,NA,"Female",24.06584,29,13,19,NA,7,9,4,9,6,5,NA,2
3077794,4,4,6,2,5,5,5,2,5,6,4,3,4,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,31,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",4,6,6,"Female",14.06584,26,17,18,16,6,11,4,6,8,7,4,3
3077872,2,6,5,3,3,2,4,1,4,6,2,2,5,3,2,5,3,4,2,2,5,2,2,4,3,3,5,3,2,2,53,"Hovedstaden","Grund-/folkeskole","Hovedstadsområdet",0,2,1,"Female",-7.9341602,18,24,15,3,7,11,6,4,5,3,8,3
3077921,2,5,4,5,5,5,4,4,5,5,4,4,3,4,4,2,4,3,4,3,4,3,3,2,4,2,4,4,2,4,54,"Hovedstaden","Grund-/folkeskole","Bymæssig bebyggelse 10.000-49.999 indbyggere",0,2,6,"Male",-8.9341602,30,15,19,8,4,7,7,7,6,0,5,3
3078074,3,4,5,1,4,1,5,1,7,3,3,4,4,4,3,4,4,4,3,2,5,4,3,4,3,2,5,3,4,4,64,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 50.000-100.000 indbyggere",2,7,7,"Female",-18.93416,24,22,22,16,9,11,1,8,8,8,7,2
3078106,3,3,4,2,3,3,4,4,3,2,2,3,3,3,1,2,4,3,3,1,3,2,2,2,2,3,2,2,3,2,32,"Syddanmark","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 50.000-100.000 indbyggere",5,3,4,"Male",13.06584,15,12,18,12,7,7,6,8,8,4,5,3
3078311,5,4,5,2,4,2,5,4,3,4,1,2,1,2,1,1,3,3,1,1,4,2,1,1,1,4,3,3,3,1,31,"Midtjylland","Mellemlang videregående uddannelse 3-4 år","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",6,7,7,"Female",14.06584,10,10,16,20,10,8,6,7,8,8,NA,3
3078694,3,2,4,2,3,5,4,1,3,3,3,4,4,4,3,4,2,3,4,3,4,3,3,2,3,4,4,4,3,3,35,"Midtjylland","Kort videregående uddannelse under 3 år","Bymæssig bebyggelse under 10.000 indbyggere",2,4,5,"Female",10.06584,26,18,20,11,5,10,6,7,9,6,6,3
3078829,5,4,5,3,3,5,4,1,5,3,4,4,4,4,2,4,4,4,4,4,5,4,4,2,4,4,4,4,4,2,25,"Syddanmark","Almengymnasial uddannelse (studentereksamen/HF)","Udenfor bymæssig bebyggelse – landområde",5,0,7,"Female",20.06584,28,19,24,12,7,11,5,7,7,5,3,2
3078844,4,4,3,3,3,4,4,4,3,3,3,3,3,2,3,2,2,2,2,3,2,2,3,2,4,3,3,3,3,3,48,"Midtjylland","Lang videregående uddannelse 5 år eller mere","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",5,6,5,"Female",-2.93416,24,12,15,16,7,6,7,7,7,4,4,2
3079030,4,4,6,1,6,4,4,1,6,3,3,4,4,4,4,4,4,3,3,3,4,4,3,4,3,4,4,2,4,4,49,"Syddanmark","Mellemlang videregående uddannelse 3-4 år","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",0,0,6,"Female",-3.93416,25,20,24,6,7,12,2,10,7,6,NA,3
3079089,1,1,4,4,5,3,4,3,3,3,1,1,2,1,1,2,4,1,2,1,4,4,1,2,1,2,4,4,3,1,64,"Hovedstaden","Grund-/folkeskole","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",0,0,3,"Female",-18.93416,12,14,15,3,5,8,8,9,10,5,5,2
3079109,5,5,7,3,1,7,2,7,1,7,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,4,3,3,2,51,"Hovedstaden","Erhvervsfaglig uddannelse","Hovedstadsområdet",5,5,5,"Female",-5.9341602,21,16,18,15,5,7,9,1,4,8,NA,1
3079229,1,2,6,5,5,7,6,1,5,2,3,3,4,2,4,2,1,5,3,2,3,3,1,2,1,2,3,3,1,2,49,"Midtjylland","Grund-/folkeskole","Udenfor bymæssig bebyggelse – landområde",6,6,6,"Female",-3.93416,19,14,12,18,1,12,7,10,11,0,5,1
3079494,5,5,5,2,5,2,5,1,5,4,4,4,4,4,2,3,3,2,4,4,4,3,4,4,4,3,2,4,4,4,59,"Sjælland","Mellemlang videregående uddannelse 3-4 år","Udenfor bymæssig bebyggelse – landområde",5,7,8,"Female",-13.93416,30,17,21,20,10,11,4,8,7,8,7,3
3079851,5,2,6,2,5,2,7,2,6,1,4,4,4,3,2,5,5,3,1,4,5,5,1,3,3,3,5,1,4,4,48,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",3,6,8,"Female",-2.93416,20,22,24,17,10,11,3,11,12,9,4,2
3079872,3,4,6,1,5,5,4,2,6,4,3,3,3,3,3,3,4,3,3,2,3,4,3,4,3,4,4,2,4,4,32,"Nordjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",7,7,7,"Female",13.06584,23,17,22,21,5,11,2,8,7,8,8,2
3080068,2,2,5,3,2,7,4,1,6,6,2,3,3,4,3,3,5,4,3,3,4,5,3,1,3,3,3,2,4,4,50,"Syddanmark","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",5,5,5,"Male",-4.9341602,23,14,24,15,2,11,4,3,9,10,4,2
3080284,6,6,4,1,5,1,3,1,5,2,2,3,3,4,3,3,5,4,3,3,5,5,2,2,3,4,3,1,4,4,71,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",2,2,5,"Female",-25.93416,21,16,25,9,12,10,3,10,4,7,1,4
3080327,7,4,7,7,7,7,7,1,1,7,5,5,5,1,5,1,1,5,5,5,5,5,5,1,5,5,5,5,5,5,43,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 50.000-100.000 indbyggere",0,0,0,"Female",2.06584,40,17,22,0,7,13,13,7,10,0,2,2
3080388,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,"Sjælland","Grund-/folkeskole","Bymæssig bebyggelse under 10.000 indbyggere",0,0,0,"Male",6.0658398,8,5,6,0,7,7,7,7,7,NA,NA,1
3081474,3,5,5,1,6,3,5,6,7,2,1,3,5,4,2,5,2,4,1,2,5,2,1,5,3,3,5,2,2,1,41,"Sjælland","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",3,7,7,"Female",4.0658398,13,25,16,17,7,6,1,11,7,10,3,1
3081905,1,3,6,2,4,4,4,5,5,3,4,3,3,3,1,1,3,4,2,3,4,3,2,1,2,1,4,2,4,2,59,"Syddanmark","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",0,6,6,"Male",-13.93416,18,13,17,12,4,8,4,8,8,9,10,2
3082089,5,7,6,7,6,2,6,2,5,5,4,4,4,3,3,4,2,4,4,3,4,2,4,4,2,2,4,4,2,2,49,"Syddanmark","Erhvervsfaglig uddannelse","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",2,4,6,"Male",-3.93416,26,20,15,12,10,11,9,8,6,2,3,4
3082290,6,7,7,2,6,1,6,3,6,2,1,4,5,4,3,4,3,3,2,1,5,3,3,4,1,4,3,2,4,4,70,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",0,2,2,"Male",-24.93416,17,21,22,4,12,11,3,11,6,9,10,4
3082430,4,2,5,3,4,2,4,2,4,3,4,3,4,4,3,4,3,2,4,3,3,4,4,3,3,4,3,3,4,4,64,"Midtjylland","Grund-/folkeskole","Udenfor bymæssig bebyggelse – landområde",5,6,7,"Female",-18.93416,28,17,22,18,9,10,6,8,9,2,2,3
3082521,5,5,6,3,6,2,5,2,5,2,2,4,3,4,3,3,4,3,4,3,4,3,3,4,3,4,3,4,4,2,72,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",6,7,6,"Male",-26.93416,24,17,23,19,10,11,5,11,7,7,4,2
3083925,5,5,6,6,2,2,5,1,5,7,2,3,3,2,3,3,4,3,4,2,5,1,1,3,1,3,3,4,2,3,37,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",0,0,0,"Male",8.0658398,20,17,15,0,10,12,8,2,7,5,9,4
3084326,5,5,7,2,5,2,7,3,6,3,3,4,4,4,3,3,4,3,2,3,4,4,3,3,3,3,3,2,4,4,33,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",4,3,5,"Female",12.06584,23,17,23,12,10,11,3,9,9,10,NA,3
3084360,2,2,5,3,2,6,3,4,4,4,3,2,2,4,4,1,2,1,1,2,2,1,4,1,3,2,1,4,1,1,64,"Midtjylland","Grund-/folkeskole","Bymæssig bebyggelse under 10.000 indbyggere",0,0,0,"Female",-18.93416,22,7,12,0,3,8,6,5,8,2,NA,1
3084736,4,6,3,5,4,5,5,4,4,2,1,3,5,4,3,3,2,4,3,1,4,3,4,3,3,2,5,4,2,2,64,"Syddanmark","Grund-/folkeskole","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",8,7,3,"Female",-18.93416,21,20,16,18,6,6,8,9,6,6,3,4
3085452,6,4,5,3,4,3,5,4,3,3,2,2,3,4,4,5,1,4,2,2,4,3,3,3,3,4,4,1,4,1,48,"Syddanmark","Grund-/folkeskole","Udenfor bymæssig bebyggelse – landområde",1,4,4,"Female",-2.93416,18,19,18,9,10,8,7,8,8,7,2,2
3085649,4,6,5,4,4,6,4,3,5,4,3,3,4,4,3,4,4,4,3,2,4,3,3,4,4,3,4,3,3,3,49,"Nordjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",5,3,5,"Male",-3.93416,24,20,20,13,5,9,6,7,5,7,5,4
3086407,5,4,6,3,4,4,7,2,6,6,3,2,3,3,2,4,3,5,3,3,2,2,1,4,2,2,4,2,2,2,38,"Syddanmark","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",6,6,6,"Female",7.0658398,18,17,14,18,8,11,4,5,10,9,6,2
3086483,5,5,4,2,5,1,5,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,5,3,4,5,3,3,3,41,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",6,8,7,"Male",4.0658398,25,19,19,21,11,7,6,8,7,8,7,3
3087758,3,6,5,2,4,5,5,3,5,3,2,3,4,3,2,4,4,4,4,2,4,4,2,4,3,2,5,2,4,4,22,"Hovedstaden","Almengymnasial uddannelse (studentereksamen/HF)","Hovedstadsområdet",4,6,5,"Female",23.06584,21,21,20,15,5,9,4,8,6,9,0,4
3088207,3,3,5,1,5,4,4,2,5,2,2,3,3,3,3,3,3,3,3,3,4,3,3,2,3,2,3,3,4,4,45,"Midtjylland","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",4,3,5,"Female",0.065839998,24,15,18,12,6,10,3,10,8,8,3,2
3088219,5,6,4,3,4,1,3,4,4,4,3,3,4,3,3,3,3,3,3,3,4,4,3,4,1,1,4,2,4,3,57,"Syddanmark","Grund-/folkeskole","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",0,5,2,"Male",-11.93416,21,19,18,7,11,7,6,7,4,6,10,4
3088390,4,4,6,3,4,3,3,3,4,5,3,3,4,3,3,4,4,3,3,3,4,3,3,4,3,4,4,4,3,3,59,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",0,8,8,"Female",-13.93416,25,20,20,16,8,10,6,6,6,8,3,2
3088808,3,6,5,5,5,4,5,4,4,6,3,3,3,3,3,2,4,3,2,2,4,4,4,2,3,4,3,3,4,3,47,"Syddanmark","Grund-/folkeskole","Bymæssig bebyggelse 10.000-49.999 indbyggere",5,6,6,"Male",-1.93416,23,14,22,17,6,8,8,6,6,4,8,3
3088943,5,4,5,2,4,5,6,3,5,3,4,3,3,3,3,3,4,2,4,4,5,4,4,1,4,3,5,3,4,4,36,"Syddanmark","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",0,2,7,"Male",9.0658398,30,17,21,9,7,9,4,8,9,7,8,3
3089197,2,5,2,2,4,5,5,5,5,2,4,1,3,4,4,4,1,4,5,4,5,1,1,4,4,4,3,4,3,3,62,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",0,4,0,"Male",-16.93416,29,19,14,4,4,4,4,9,7,4,3,2
3089417,6,6,5,2,6,2,5,3,4,2,2,3,4,2,2,4,5,4,2,3,5,5,2,4,2,3,5,2,5,2,68,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",4,4,4,"Female",-22.93416,17,22,23,12,11,9,5,11,6,3,6,3
3089467,5,5,7,3,5,5,4,2,7,2,3,4,3,4,2,4,3,3,3,3,4,4,3,2,2,4,4,2,4,3,24,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",5,7,6,"Female",21.06584,21,17,23,18,7,12,3,10,6,10,2,3
3089710,7,7,7,1,5,1,6,2,6,4,2,4,5,3,2,4,2,4,3,2,4,2,1,3,4,4,5,3,4,3,34,"Midtjylland","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 50.000-100.000 indbyggere",8,7,5,"Female",11.06584,20,21,19,20,13,12,2,8,6,7,7,5
3089864,4,4,5,4,4,4,5,2,5,4,5,5,5,4,3,4,4,3,5,4,5,3,3,4,5,3,5,3,4,5,59,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",0,5,10,"Male",-13.93416,33,23,23,15,7,10,6,7,8,10,0,4
3090485,7,5,5,1,6,2,5,3,6,3,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,42,"Syddanmark","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",8,8,8,"Male",3.06584,32,21,24,24,12,9,2,10,7,8,8,2
8029347,4,5,5,5,5,6,6,3,5,3,5,4,4,3,5,4,1,3,4,3,4,2,5,3,3,3,4,3,2,4,62,"Syddanmark","Mellemlang videregående uddannelse 3-4 år","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",1,5,5,"Female",-16.93416,32,19,15,11,5,9,7,9,8,3,2,2
8032791,6,4,5,1,6,1,5,1,5,5,1,5,2,4,1,2,5,2,5,2,5,4,1,3,2,3,5,1,4,5,58,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",7,8,10,"Male",-12.93416,18,17,25,25,12,11,3,8,8,8,6,3
8036861,5,5,5,1,6,4,6,3,7,4,4,4,3,4,3,2,5,2,3,4,5,4,3,2,4,4,4,3,4,4,65,"Syddanmark","Mellemlang videregående uddannelse 3-4 år","Udenfor bymæssig bebyggelse – landområde",4,5,5,"Female",-19.93416,28,16,25,14,8,9,1,9,8,9,6,3
8088788,3,2,5,4,6,5,4,2,5,6,1,1,3,2,2,2,4,3,1,1,4,4,1,1,2,3,4,2,4,2,39,"Midtjylland","Erhvervsfaglig uddannelse","Udenfor bymæssig bebyggelse – landområde",2,8,7,"Female",6.0658398,12,14,18,17,5,10,6,7,9,7,3,3
8192082,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,46,"Nordjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",5,5,1,"Male",-0.93415999,24,15,18,11,7,7,7,7,7,6,0,3
8232153,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,62,"Syddanmark","Kort videregående uddannelse under 3 år","Bymæssig bebyggelse 10.000-49.999 indbyggere",7,9,10,"Female",-16.93416,24,15,18,26,7,7,7,7,7,8,5,3
8242965,1,1,2,4,4,6,6,3,3,3,4,3,4,4,2,3,4,3,3,4,4,3,4,3,3,3,4,2,3,4,45,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",0,0,0,"Female",0.065839998,26,18,20,0,2,6,8,8,12,3,10,2
8581256,4,5,4,4,5,4,3,4,5,4,3,4,3,3,2,1,2,4,3,1,3,3,3,2,1,2,3,3,2,3,36,"Nordjylland","Grund-/folkeskole","Udenfor bymæssig bebyggelse – landområde",0,0,0,"Male",9.0658398,19,12,16,0,7,7,6,8,5,2,3,3
8856123,4,4,4,4,6,4,6,5,3,2,3,4,4,3,4,3,4,3,3,3,4,3,2,2,4,3,4,3,3,3,23,"Hovedstaden","Almengymnasial uddannelse (studentereksamen/HF)","Hovedstadsområdet",3,3,3,"Male",22.06584,25,17,20,9,7,6,8,11,9,3,0,2
8895439,7,6,5,2,6,3,6,3,5,1,3,4,4,4,4,4,3,2,2,2,4,4,3,3,4,4,4,4,4,3,23,"Syddanmark","Kort videregående uddannelse under 3 år","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",5,5,5,"Female",22.06584,25,19,23,15,11,9,4,12,7,5,2,3
9055501,2,2,4,4,4,5,6,2,3,4,3,2,3,4,4,4,3,4,3,3,4,3,3,3,3,3,4,4,2,2,22,"Hovedstaden","Almengymnasial uddannelse (studentereksamen/HF)","Hovedstadsområdet",5,9,5,"Female",23.06584,25,18,17,19,4,9,8,7,11,6,4,2
9085658,6,4,4,3,5,4,6,5,5,4,1,1,4,4,3,3,3,3,1,1,4,2,1,3,1,2,2,1,1,1,47,"Syddanmark","Erhvervsfaglig uddannelse","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",7,7,7,"Male",-1.93416,10,16,13,21,9,6,5,8,9,8,4,3
9106271,4,3,5,5,4,4,5,3,4,6,1,1,3,2,2,3,4,3,1,1,4,4,2,2,2,4,4,2,4,2,56,"Hovedstaden","Grund-/folkeskole","Hovedstadsområdet",4,8,8,"Female",-10.93416,13,16,19,20,7,9,8,5,9,5,4,3
9145347,5,6,6,2,6,1,6,2,6,4,2,2,4,3,2,4,3,2,2,2,4,3,2,4,3,3,4,2,3,1,61,"Nordjylland","Mellemlang videregående uddannelse 3-4 år","Udenfor bymæssig bebyggelse – landområde",1,2,7,"Male",-15.93416,16,20,17,10,11,11,3,9,7,7,5,2
9185334,5,3,6,3,4,5,6,1,5,1,4,4,4,4,2,2,4,2,4,4,4,4,4,3,4,4,3,3,4,2,64,"Hovedstaden","Mellemlang videregående uddannelse 3-4 år","Hovedstadsområdet",5,5,5,"Female",-18.93416,27,16,24,15,7,12,5,10,10,8,5,2
9309922,3,4,5,3,6,3,6,1,4,3,4,3,4,3,4,3,3,2,4,3,3,3,4,2,4,2,4,3,2,3,32,"Hovedstaden","Lang videregående uddannelse 5 år eller mere","Hovedstadsområdet",4,7,7,"Female",13.06584,29,16,16,18,7,11,6,10,9,7,2,3
9433997,6,6,5,2,6,1,5,3,3,2,4,5,3,3,4,2,4,3,2,4,4,4,4,3,4,3,3,3,4,4,43,"Syddanmark","Erhvervsfaglig uddannelse","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",6,7,7,"Female",2.06584,29,15,23,20,12,9,6,11,6,7,3,3
9451369,3,3,6,6,6,6,6,2,1,2,4,2,2,5,5,2,2,3,3,3,3,2,4,1,4,2,4,3,1,4,62,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",2,7,9,"Female",-16.93416,30,12,14,18,4,11,12,11,10,9,1,4
9467666,5,5,4,5,6,2,6,2,2,1,3,2,2,3,4,3,2,3,4,3,3,2,4,2,4,2,3,4,4,3,22,"Midtjylland","Almengymnasial uddannelse (studentereksamen/HF)","Bymæssig bebyggelse 50.000-100.000 indbyggere",1,6,3,"Female",23.06584,29,13,15,10,10,9,10,12,8,4,8,4
9500670,3,3,3,4,4,3,3,3,3,4,2,3,4,2,3,2,3,2,3,3,2,2,4,3,3,2,3,4,3,3,44,"Sjælland","Grund-/folkeskole","Bymæssig bebyggelse under 10.000 indbyggere",8,5,6,"Male",1.06584,25,14,15,19,7,7,8,7,7,3,6,4
9659415,5,6,4,5,5,2,6,1,2,2,2,2,4,4,5,4,3,2,2,2,4,4,2,3,2,4,5,2,4,2,21,"Hovedstaden","Almengymnasial uddannelse (studentereksamen/HF)","Hovedstadsområdet",3,5,8,"Female",24.06584,19,20,21,16,10,10,10,10,7,6,9,4
9701904,7,1,7,4,7,2,7,4,4,3,4,3,3,4,4,4,2,3,3,4,3,3,3,1,4,3,4,4,4,3,49,"Sjælland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse 10.000-49.999 indbyggere",0,5,6,"Female",-3.93416,29,15,19,11,12,10,7,11,13,4,5,3
9849054,5,3,6,1,7,2,6,1,4,1,4,4,4,3,2,2,5,4,2,4,5,5,5,2,3,3,5,3,5,3,69,"Midtjylland","Mellemlang videregående uddannelse 3-4 år","Bymæssig bebyggelse under 10.000 indbyggere",0,0,6,"Female",-23.93416,26,18,25,6,10,12,4,13,10,4,8,2
9863245,5,5,6,4,6,1,6,1,6,1,4,4,4,4,1,4,3,4,4,4,4,4,4,4,4,5,5,4,4,4,44,"Midtjylland","Mellemlang videregående uddannelse 3-4 år","Storby (over 100.000 indbyggere) – men ikke hovedstadsområdet",NA,2,3,"Female",1.06584,29,21,24,NA,11,12,5,12,8,6,5,3
9933921,7,7,7,4,7,2,6,3,4,4,4,4,5,4,5,3,5,3,4,2,5,5,4,4,5,4,3,4,5,5,24,"Sjælland","Almengymnasial uddannelse (studentereksamen/HF)","Hovedstadsområdet",6,10,10,"Female",21.06584,33,20,27,26,12,11,7,10,6,9,5,5
9949050,3,4,5,3,5,6,6,3,3,4,2,3,4,3,3,2,3,3,4,3,4,3,3,2,3,2,4,2,2,4,46,"Midtjylland","Erhvervsfaglig uddannelse","Bymæssig bebyggelse under 10.000 indbyggere",1,6,5,"Male",-0.93415999,24,16,16,12,4,9,7,8,9,8,3,3
